,id,label,prediction,text
6,7,0,1,苏明娟实现了从农家女孩到共青团安徽省委副书记的“逆袭”，这让我们看到：扶贫救困不能只顾解决眼前问题，更要立足长远培养脱贫能力。
8,9,1,0,下午三点整，参加成立典礼的群众全部到齐了。
10,11,0,1,我们正在走进五彩缤纷、朝气蓬勃的青春花季。
13,14,0,1,省科学技术奖的推荐、评审和授奖，坚持公开、公平、公正的原则，依法管理，求真务实，注重实效，严格评审标准，不受任何组织和个人的干涉，坚决防止弄虚作假。
20,21,0,1,修改后的《中华人民共和国个人所得税法》于9月1日正式实行。新《中华人民共和国个人所得税法》实施后，全国约6000万的工薪阶层纳税人成为最主要的受益群体。
26,27,0,1,保护野生动植物就是保护人类赖以生存的生态环境，国家应加快建立自然保护地管理体系，让重要的自然生态系统得到有效保护，促进人与自然和谐共生。
28,29,0,1,救灾队伍在余震不断、交通断绝、通信不畅的恶劣环境下坚韧前行，一条条生命因为他们的到来重获生机。
37,38,0,1,江苏省出台了校园足球行动计划纲要，创建一批校园足球特色学校和特色县。
65,66,0,1,英国媒体报道称，将来无论哪一种癌症患者，都可以得到符合个体特点的预约免疫治疗法，这种新疗法可以让患者的免疫系统主动出击，杀灭每一个癌细胞。
92,93,0,1,要进行素质教育，关键在于改变教育思想，而教育思想的改变，取决于教育体制和整个社会人才观念的转变。
95,96,0,1,萧山区青年歌手大赛成为全区百姓最关注的本土声乐大赛，每届都吸引着数百位歌唱爱好者的参与。
97,98,1,0,《不动产登记暂行条例》按照物权法的有关规定，把登记资料查询人限定在权利人和利害关系人，有关国家机关可以依法复制、查询与调查处理事项有关的登记资料。
103,104,0,1,储蓄所收储蓄额的高低对国家流动资金的增长有重要的作用，因而动员城乡居民参加储蓄是积累资金的重要手段。
105,106,0,1,由此可见，文化上真正的高峰是可能被云雾遮盖数百年之久的。大家只喜欢在一座座土坡前爬上爬下，狂呼乱喊，却完全没有注意那一脉与天相连的隐隐青褐色，很可能是一座惊世高峰。
112,113,0,1,北京博物馆展出了新出土的两千多年前的文物。
126,127,1,0,石亭江大桥，在暴雨引发的特大洪水中受到重创，致使西安开往昆明的K165次列车脱线，两节车厢落水，两个桥墩坍塌。
128,129,0,1,对美中贸易的研究表明，中国以向美国出口廉价玩具、饮品和服装为主的时代一去不复返了。
131,132,0,1,日前颁布的《国务院关于促进民航业发展的若干意见》明确把民航业定为战略性产业，把发展民航业提升为国家战略，这将对中国民航的发展起到巨大的推动作用。
133,134,0,1,春节黄金周，探亲和出游的旅客大量增加，广铁集团共发送旅客305.9万人次，与去年同期相比增加23万人次，增幅为8．1％。宁可让商品积压，资金呆
139,140,0,1,根据实时遥测数据监视判断，嫦娥四号探测器顺利进入环月轨道，近月制动获得圆满成功。
143,144,0,1,今天的中国，正在以人类历史上的发展奇迹，吸引着世界的目光，接受着历史的检阅。而61年辉煌奇迹的造就，每一步跨越都孕育于风险和挑战，每一个脚印都充满了奋斗的艰辛，每一次变革都彰显着智慧和勇气。
144,145,0,1,由于近年来调整城市功能，重新定位产业结构以及疏解非首都核心功能等战略的实施，北京市将严格控制人口总量的增长，常规引进人才进京的数量将逐年减少。
156,157,0,1,越来越多的人已经认识到：经济的发展应与环境达成和谐，其中最重要的内容就是避免污染环境和保护构成和谐环境的生物。
163,164,0,1,11月20日晚8点，中国嘉德2010秋季拍卖会在北京举行了“秋光万华——清代宫廷艺术集粹”专场，吸引了众多来自海内外的藏家参与，多件作品以高出估价数倍的价格成交。
175,176,1,0,据报道，上海家化与沪江日化都产生了一些令人难以置信的现象，两家企业均存在未披露的采购销售关联交易及累计3000万元资金拆借关联交易。
179,180,0,1,随着科学技术日新月异的发展，电脑已成为人们不可或缺的工具，在人们的学习和工作中发挥着重要的作用。
189,190,1,0,这场英模报告会后，全市上下迅速掀起了追赶先进、学习先进、争当先进的热潮。
201,202,0,1,围绕林冲的遭遇，课文情节的展开张弛有致、波澜起伏，反映了林冲性格思想的变化过程。
203,204,0,1,有评论家指出，目前的中国足球人才短缺，竞争机制难以完善，个别球员恃才无恐，出现了职业道德与收入没有同步提高的怪现象。
209,210,0,1,高速公路上交通事故的主要原因是司机违反交通规则或操作不当。
212,213,1,0,一个国家的繁荣，不取决于国库的殷实，不取决于城堡的坚固，也不取决于公共设施的华丽，而取决于其公民的文明素养的高低。
214,215,0,1,商业经济和文化产业的发达，加之西方先进的摄影技术传入，为时尚画报这种大俗和大雅混杂的消费品，提供了得天独厚的经济和文化空间。
217,218,1,0,作为维护世界和平的两大力量、促进共同发展的两大市场、推动人类进步的两大文明，中国和欧洲的每一次对望、对话，不仅牵引着世界的神经，也相互影响。
231,232,0,1,诚信教育已成为我国公民道德建设的重要内容，因为诚信不仅体现了公民的基本道德素质，而且关系到国家的整体形象。
238,239,0,1,3月5日下午，四川省环境保护委员会举行了“减少污染、珍爱家园”联合环保行动启动仪式，这标志着以建设“资源节约型、环境友好型社会”为目标的“绿色四川”行动正式拉开序幕。
242,243,1,0,虎座凤鸟悬鼓是荆州最具代表性的楚文化标志，也是荆州最具显著特色的文化符号之一。
246,247,0,1,近年来，学生书写水平逐渐下降的问题引起了全社会的广泛关注。
247,248,1,0,北京隆重盛大举行中国共产党成立100周年大会，重温光辉历史，共话初心使命。
252,253,0,1,热烈祝贺北京携手张家口申办2022年冬奥会成功！
255,256,1,0,因为没有明确的法律规定教育投入的责任和合理的分配比例，所以地方政府倾向偏重于将资金投入到生产性的公共项目中。
256,257,1,0,面对咆哮肆虐的洪水，有谁不愿拿生命再去冒险呢？
257,258,0,1,2019年的春节旅游市场异常火爆，数据显示，除夕前一周，上海、杭州等热门城市的机票预定量同比增长超40%。
259,260,0,1,一个人的言行，体现家庭的素养，子女的身上，有着父母的影子。劝人行善积德，力行勤俭有为，这些积极向上的家规祖训，渗进了我们民族的传统文化。
260,261,0,1,只有搞好干部队伍建设才能贯彻落实全心全意为人民服务的宗旨，因此，我们必须高度重视，常抓不懈。
263,264,0,1,随着流动人才的增加和社会对人才需求的日趋多样化，用人单位在招聘人才时，开始主动与各地人才市场联系，以便在更大范围内挑选更符合要求的优秀人才。
264,265,0,1,按照国际外交惯例，国家元首出访，第一夫人往往会陪同前往。她们在外交活动中的良好表现，会增强公共外交的效能，有利于提升一国的“软实力”。
269,270,0,1,外交部3月2日表示，中国对西沙群岛及其附近海域拥有无可争辩的主权，近日依法处理在该地区非法捕捞的越南渔船，完全正当合法。
281,282,0,1,《士兵突击》这样艺术水平高，情趣积极向上的作品的走红，广大网民对“华南虎照片”等重大新闻的真实性的质疑监督，使我们看到了网络传播所蕴涵的巨大的积极作用。
288,289,1,0,关汉卿把窦娥心灵深处最美好最闪光的东西展示给观众，使观众看到它的毁灭、看到它的可贵。这体现了悲剧的特点，增强了艺术感染力。
304,305,0,1,崔天凯指出：中美两国历史文化传统和经济发展水平不同，两国国情有很大差别，所以在人权问题上有不同的看法，这也是一件很正常的事情。
