	label	text
0	1	大大小小的水库和纵横交错的沟渠，如同一面面闪亮的镜子和一条条银色的缎带，遍布在这昔日荒草连天的田野和山洪频发的山谷。
1	1	就现阶段看，本国民的文化程度普遍偏低，适合还要大大提高。
2	1	在语文课堂上，身为医护人员的我最大的快乐就是在文本的解读与探究中分享大家的情感。
3	0	我和他是两所学校的学生，记得我认识他的时候，大家还只是个七八岁的小孩子，天真烂漫，无拘无束。
4	1	本市国税局绘制出“税源分布示意略图”,解决了税源运动员辖区划分不清、争议扯皮等问题的发生。
5	1	在信息时代，一个人是否具有神速涉猎、捕捉有效信支配着一个人成就的大大小小。
6	1	不知是曾几何时，报纸杂志书刊上出现了越来越多的缅怀往事的文章，慨叹现代生活中人与人之间关系的冷漠。
7	1	随着社会的不断进步，科技知识的价值日益显现，人类已进入知识产权的归属和利益的分成，并已开始将利益向科技工作者身上倾斜。
8	1	国家将在“十二五”期间推进供养型、养护型、医护型养老，实现每千名老年人拥有30张养老床位。
9	1	2014年底，朝美政探月工程三期“载人返回飞行”试验获得成功，确保嫦娥五号任务顺利实施和探月工程持续推进奠定坚实基础。
10	1	油荒引发的节油比拼已在各重型卡车品牌之间展开，开发节油重型卡车已成为国内该类企业当前的主流产品。
11	1	三月的瘦西湖，是一个美丽的季节。
12	1	学习有三怕：一是不能浅尝辄止，二是不要寻找什么捷径，三是一曝十寒。
13	0	“志愿者”已成为一个富有活力的名字，成为爱与奉献的象征。
14	1	我国重新修订了《食品安全法》，目的是用更严格的监管、更严厉的处罚，切实保障“舌尖上的安全”，被称为“最严食品安全法”。
16	1	天的变型与支气管喘气的发病有严细的关联，如年年岁岁的春末和秋初，气温弯增长率较大，气喘的发病人数也明显增加。
17	1	譬如秋风忽至，再有—场早霜，落叶或飘摇歌舞或坦然安卧，满园中落满着熨帖而微苦的味道。
21	1	《演员的诞生》海报用星空、月亮以及璀璨的星星，来寓意那些梦想着在人生舞台上尽情表演，并且怀揣演员理想。
25	1	究竟能否既提高教学质量，又减轻学生过重的课业负担，是无可讳言的。
27	1	骑自行车健身时，因为在周期性的有氧运动中，使锻炼者能够消耗较多的热度，所以减肥、塑身效果都比较明显。
28	0	然而，这看似简单、实则难得的进步，离不开中国稳扎稳打的”。
29	1	《舌尖上的中国》通过介绍我国各地美食，使观众了解了食物给中国人在礼仪、伦理、人际交往等方面带来的深刻变化。
30	1	为减少和预防电信诈骗案件的发生，派出所民警在社区开展了防电信诈骗主题宣传活动。
31	1	从不念旧恶的真相中晓吾侪，条件厄是不曾国界的。
32	1	打虎拍蝇雷霆万钧，正风肃纪驰而连连，演进了反腐败发愤图强压倒性态势，党心民心为之一振，党风政风为之一新。
33	0	梁任公先生是中国近现代政坛风云人物，也是学术界一位难得的才子，课文给我们展现了一个真实的、活生生的梁任公。
35	1	从瘦肉精、苏丹红到三聚氰胺，各种危害人体健康的食品添加剂防不胜防，防止食品安全已是当务之急。
36	1	金乌炭雕工艺精湛，采用纯天然颜料着色，具有高雅、时尚、个性的艺术享受，还能吸附有毒有害气体，是一种最高法艺术品。
37	1	老萨与律师团的谈话被卡塔尔半岛电视台报道以后，透露了萨达姆再次号召伊拉克人民抵制伊大选，向美英占领军发动圣战的意思。
38	1	俺们在园林里采了累累野花，以至夕阳西下，统衰落了，我们才恋恋不舍地离开了花园。
39	1	待到祥林嫂出来淘米，刚刚要去，那船里便突然快速地跳出两个男人来，像是山里人，一个抱住她，一个帮着，拖进船去了。
41	0	南京是我国的六大古都之一。
42	0	如何加强共享单车规范停放的管理，维护环境秩序，目前已成为公众关注的热点问题。
43	1	理想的教育应该培养学生善于发现、善于探索的水平。
45	1	从3月28日起，我市将对南湖景区水上客运市场秩序进行集中整治，重点治服非法载客、乱搭乱建、违规揽客等行为。
48	1	通过这次语文综合实践活动,使同学们的语文学习兴趣有了很大提高。
49	1	当一个全新的、针锋相对成熟的行，非徒电子商务在一定水准上改动了生人的活办法，也磕碰了历史悠久的传统商业模式
52	1	我省在对口支援吉安重建中本着对历史出版家、对灾区群众投资者资，尊重当地群众的意愿，合理规划，科学重建。
53	1	老伯、祖辈不仅爱读毛泽东的诗句，而且青年也喜好毛泽东诗文中豪迈的气势、广阔的负。
54	1	以再现《边城》小说里茶峒古镇的人文景观，打造“书内部城”，花垣县已入手借债达2．8亿元横。
55	1	有人纳谏关于部门可否设想开设大学生事情介绍所，让在校就读的贫苦大学生可知由此勤工剑学的方式完成学业。
56	1	每个同学应该成为德育、智育、体育的劳动者。
57	1	由中国国家博物馆举办的“中国国家典藏文物展”是新中国成立以来我国展览规模、档次、文物等级最高的一次特展。
58	1	作为史上官兵最大的一届冬奥会，重庆东南部冬奥会不仅是大国间“斗法”的舞台，更是各国体育健儿展示实力的竞技场。
59	1	过去那种要求不搞则已，搞则只许成功，，实际严重违反了辩证唯物论的认识论。
60	1	名帅戚务生的执教经验丰富，在短短5年内，把云南红塔队改造成一支甲A强队，为西南足球赢得荣誉。
61	1	当听到“神舟十号”飞船成功升入太空的消息时，让许多中华儿女激动得。
63	0	各地要针对突出问题,健全工作机制,确保按时完成校外辅导机构治理整改任务。
65	1	如果一无造就起对阅读从小的感兴趣，就很难从阅读中体味到欢娱与福如东海。
67	1	从今天（17日）起至20日，我国黄淮及其以南地区将正出现今年以来最大范围强降雨过程，部分地区的过程雨量可超过100毫米。
69	1	公安部、国家工商总局已向各地公安、工商机关作出部署，要求对非法敛财的“世界通”涉嫌传销犯罪活动进行依法查处。
70	0	大量事实表明，领先科技出现在哪里，高端人才流向哪里，发展的制高点和经济的竞力就转向哪里。
71	1	学校采纳并研究了学生会的意见，这是使学生们欢欣鼓舞事情。
72	1	当今的世界，各个国家、地区相互依存，已经形成了你中有我、我中有你的格局，是—个经济全球化的时代。
73	1	我国环境保护转机的曙光虽然隐约可见，但由于传统经济增长方式的巨大惯性，生态变化的不可逆性，生态恢复和环境保护并不容乐观。
74	1	杭州地铁萧山段，由中铁四局承建和承包，此时地面坍塌事故已造成8名工人死亡，13人失踪。
75	0	在北川中学师生安置点，温家宝总理在高三（1）班教室的黑板上写下了“多难兴邦”四个大字。
76	1	央视《朗读者》是我到观众的周边好评，出于其剧目式子新星、知识内涵累加的因。
77	1	从2015年11月4日发现一大一小两枚马蹄金以来，无论是金器的数量还是种类，海昏侯墓都不断刷新中国汉墓考古记载。
78	1	唯一想到的，并且是为之欣喜若狂的，则是在那一百多元的刺配补助费中，他有部分支配权去买枪。
82	0	我们中学生如果缺乏创新精神，也不能适应知识经济时代的要求。
85	1	本届“海峡杯”竞赛参赛人数和参赛作品都有了明显的增加。
86	1	近年序实施的无所不包清除农业税、免收小村中小学生的学费，高度说明了中央政府对农家问题的尽关注。
87	1	弘扬优秀的民族的文化传统，是我们的神圣使命。
88	1	近几年，黄牛党倒票活动仍然存在，每逢节前民工大量返乡，就是黄牛党骗取民工钱财猖獗之时。
91	1	针对性眼前教育界亟居然反其道而行之科学道、装作事件屡有闹，江山应设立专门的独立部门担当检察处理。
92	1	全世界新机场的启动日期不是随意选择的，而是要国际航班资料交换日来确定。
93	1	从2015年11月4日发觉一大一小两枚马蹄金吧，任金器的数量还是种类，海昏侯墓都娓娓基础代谢中国汉墓考古记事。
96	1	通过这次“树标兵，促后进”的评选活动，激发了许多个体经营者奋发向上、文明经营的意识。
98	1	连战和胡总书记达成了许多共识，国台办专门就其中一些台胞特别关注的问题在记者会上进行了说明。
99	1	随着小说获奖的激动逐日暗淡，使我开始相信，我用纸笔在报刊上碰撞开的一条路，并不就是母亲盼望我找到的那条路。
101	1	亚运会当前，广州一方面各项工程建设庞大，另一方面广州汛期分期分批来临，如何合理统筹，是摆在广州管理者面前的大难题。
103	1	要加强对党员干部权力监督的途径和办法，做到党员干部的权力行使到哪里，监督、管理就落实到哪里。
105	1	冠“书香之家”颁奖典礼，是设在杜甫茅草屋古朴的仰止堂开的，当场揭晓了书香家园、书香校园、书香社区等得奖人名册。
106	1	为着全面推广运用菜籽饼或棉籽饼喂猪，加快前行养猪业，夫县举办了三期饲养户术训练班。
108	1	通过考古发掘、征集和捐赠，纽扣博物馆获得历史文物藏品近82000多件。
109	1	商品房预售制最初的宗旨是解决部分房地产企业开发资金不足的问题，以加快城镇住房建设。
110	0	每每念及那个曾经让我梦寐以求的愿望，我的心里总是忐忑不安。
111	1	近几年，随着全民摄影时代、全媒体时代，出现了高清视频截图技术，以生产静态照片为职业的摄影记者的生存空间受到了挤压。
113	1	《经典咏流传》欢迎的主要原因是其用新形式传诵经典造成的。
114	1	看到眼前的毕业照，小新不由想起三年来大家玩耍，同窗共读。
115	1	说到底，不管是北京还是其他地方，做好“治堵”工作在于能否完善市政规划和优先发展公共交通。
116	1	市十六届人大第十八次会，通过并研讨了新考订的《济宁市开发区新区章》。
117	0	新课程改革以来，我们要坚决拒绝随意增减课时现象，要鼓励和表彰实施有效教学、提高课堂效率的优秀老师。
118	1	各大媒体在纷纷报道2015年党中央“打老虎”的实际行动后，许多贪官污吏开始惶惶不可终日，妄图通过各种途径逃避打击。
119	1	以逆反省，俺们提前善了各项准备工作。
121	1	譬如秋风忽至，再有-场早霜，落叶或飘摇歌舞或坦然安卧，满园中落满着熨帖而微苦的味道。
122	1	进入冬季以来，由于天气等多方面原因，成都市空气质量令人堪忧，众多网友发帖呼吁政府出台措施改善空气质量。
123	0	我们要培养能担当民族复兴大任的时代新人，就必须要着力提升学生的综合素质，促进学生德智体美劳全面发展。
124	0	现代阅读理论认为，作品是一个开放结构，只是提供了某种意义的可能性，读者的参与才意味着意义的生成及作品的最终完成。
125	1	厦深铁路开通后，铁路沿线城市和台湾金门、马祖地区联手推出数百项优惠政策，以满足游客多样化的旅游。
127	1	老陈严肃而诚恳地说：“说实话，那些越是年轻的时候，有一腔势血，到岁数大了，就越是不愿承认自己老了”。
130	1	2017年初好莱坞电影《星球大战：原力觉醒》引爆了市场，成为第一部中国电影史上首日票房超2亿的电影。
131	1	在动物身上，无论从形态结构、生理结构，或者行为方面去分析，尽可能节省能量的例子比比皆是。
133	1	在今年的冬奥会上，中国女子短道速滑队，力克群雄，取得了参加冬奥会以来的历史最好成绩。
134	1	为传播志愿服务理念，在国防科工委的支持下，在我国第一颗月球探测“嫦娥一号”上，专门搭载了奥运志愿者歌曲《微笑北京》。
135	1	世界首列商用磁浮的冠名权竞拍被浙江一民营企业以2090万元的高价夺得。
136	1	老李告别那些曾一起并肩战斗结下深厚友谊的战友，一晃二十多年了，老战友来拜访他十分激动。
137	0	潜龙洞景区位于贵州省松桃县境内，是武陵山脉海拔最高的亿年古溶洞群，更为神奇的是洞内石笋至今仍然在生长与繁育。
138	1	国务院新闻发言人强调，任何支持和纵容“台独”的行为必将遭到全体中国人民的坚决反对和谴责。
139	1	这儿苹果树正开着花；紫丁香散发着香气，它那枝条又长又绿的垂到弯弯曲曲的溪流上。
140	1	山东省首套扬尘在线监控系统正式启用，现场视频、图像、数据通过3G网络就能传输到智能移动平台、桌面PC机等终端设备进行访问。
141	1	据有关资料吐露，近一年来，山西省的爱滋病已由高危人丛向平平常常人海广为传颂的快速增长阶段。
142	1	为了适应生存环境的变化，一些鸟开始选择高楼大厦的顶部，或者选择高压电线杆，甚至选择教堂的圆顶，成了它们哺育儿女的乐园。
143	1	李清照女人，她既不能岳飞那样驰骋疆场，也不能像陆游那样和朋友可以痛痛快快地使酒骂座，甚至也不能像辛弃疾那样上朝议事。
145	1	“洋河·蓝色经典杯”全国小轮车冠军赛的参赛者大多是以省级代表队为主，其他级别的代表队也有，但数量不多。
146	1	近年“两会”期间，教育改革、收入分配“二孩”政策、新能源等民生问题成为电视、报刊、网络和媒体热切关注的焦点。
147	1	早晨五、六点钟，在通往机场的大街两旁便站满了数万名欢送的人群。
149	1	英法联军在鸦片战争中烧毁并洗劫了圆明园，在世界文明史上犯下了滔天罪行。
150	0	我们将加快植树造林的步伐，使我们的山更绿，水更清。
151	0	在南海问题上，中国在坚持原则立场的同时，始终倾全大局。
