id,label,prediction,score,text
10785,0,1,0.85520774,《江南style》的走红，不仅仅是因为鸟叔的舞步契合了部分人慌张浮躁的心理特点，更主要的是出于对那种拜金主义及暴发的生活方式的反思。
1348,0,1,0.90462816,结果表明，试验是卓有成效的，建成不到三个月的栈桥式护岸，基本实现了在湖水变化很大的状态下，仍然保持亲水性和生态性的目标。
14118,1,0,0.38964406,《中小学教育惩戒规则（试行）》规定教育惩戒应当遵循以教育性、合法性、适当性原则为前提。
42783,0,1,0.7701993,近年来，由于观众的锐减、剧目贫乏和演员青黄不接，导致中国戏剧的发展陷入前所未有的困境。
40695,1,0,0.18900055,2015年5月，筷子兄弟一首极具动感节奏、旋律清新明亮的复古神曲《小苹果》走红网络。
4279,1,0,0.35298193,车辆万一在高速公路上发生事故，交通部门要及时在规定位置设置警告标志，以防止二次事故的发生。
15408,1,0,0.36982074,农民工返乡和大学毕业生就业难的问题，广泛引起了全社会的极大关注。
24135,0,1,0.86475617,这次比赛之前，运动员们都做了充分准备。
21489,1,0,0.41608486,在优秀共产党员的影响下，大批公交员工首次在保持共产党员先进性教育活动中向党组织递交了入党申请书。
32270,1,0,0.3411792,运动员的高超技能可以通过日常的刻苦训练获得，而良好的心理素质却要通过临场的无数次竞技才能练就出来。
6055,0,1,0.50459385,造纸术是中国对世界文明的伟大贡献之一。
2281,1,0,0.49427977,能不能获诺贝尔奖，可以当作检验中国教育科技改制和时代变革的一个试纸或者一个标志。
3600,1,0,0.44280943,诗歌是一种文学体裁。从内容方面来说，一般有叙事诗，抒情诗、史诗、英雄颂歌，故事诗等，还有一种用诗体对话构成的剧本，叫诗剧。
33906,1,0,0.38250825,公安部交通管理局12月17日正式发布新修订的《机动车驾驶证申领和使用规定》，新规定中加大了对酒后驾驶违法行为的处罚，由一次记6分调整为记12分。
28550,0,1,0.7364315,皖南古民居具有防匪防盗、冬暖夏凉、生活方便等诸多特点，虽历经百年风雨至今仍完好无损，吸引了无数中外游客前往参观。
42799,0,1,0.5983848,《国家宝藏》的追求就是通过电视呈现的手段让“国”文物活起来，不仅是件陈列品，而且是能够让观众感受到“生命”的文化传奇。
44113,1,0,0.27402255,缓和、改善和发展两岸局势和关系，是当前台湾同胞的期望，是两岸的主流民意，也符合国际社会的共同利益。
4380,0,1,0.8110893,他的性格，在我的眼里和心中是伟大的，虽然他的名字并不为许多人所知道。
41110,1,0,0.2507924,为充分提高人文奥运的理念，将中国古老的传统文化与奥运精神有机结合，北京奥运组委推出了“国人不可不知的五句《论语》经典”征集活动。
9636,1,0,0.3436812,教育部表示，各地要力争经过3到5年的努力，使义务教育阶段择校乱收费不再成为群众反映强烈的问题。这是官方首次明确解决义务教育阶段择校乱收费的时间表。
35313,1,0,0.41563812,昨日公布的“151种食品和饲料中非法添加物质名单”，在网络上掀起轩然大波。昨晚，不少网友通过微博表明了“到底什么才能吃”的疑惑与无奈。
17094,1,0,0.49096334,大国崛起的过程，必然是大国国民意识的复苏过程，是民族自信心、自豪感、凝聚力都空前增强的时代。
13742,1,0,0.3473388,本着以“因材施教、特色发展”为教育理念，学校根据学生的个性差异和发展定位，实施分科、分层教学，每班50人左右，实行动态管理。
9195,1,0,0.24458271,伊朗表示，国际原子能理事会如果在2月2日召开的紧急会议上将伊朗核问题提交联合国安理会，那么伊朗将拒绝履行伊朗核协议。
27482,1,0,0.27479956,中国政府今年将隆重纪念中国人民抗日战争暨世界反法西斯战争胜利70周年，目的是铭记历史、缅怀先烈、开创未来、珍视和平。
25823,1,0,0.3337541,非物质文化遗产数字化保护是指采用数字处理、数字存储、数字采集、数字展示和传播等技术，将非物质文化遗产转换成可共享的数字形态并加以保存。
22598,0,1,0.86184853,网上图书能低至六折，甚至更低，根本原因在于网上书店相对实体书店而言运营的成本比较低，没有实体书店所需的高额店面费
25111,1,0,0.35416192,和传统书法艺术不同，现代书法艺术追求的是视觉艺术效果，更注重以造型来抒发自己的感情和个性。
4730,0,1,0.55832773,财政部门要提高科学管理水平，特别是在农村基础设施经费的管理上，要做的心中有数，全盘考虑，周密安排。
15278,1,0,0.20900112,国家广电总局和工信部联合发布了《互联网视听节目服务管理规定》，这一规定旨在加强行业准入门槛，将网上五花八门的视频节目纳入更加严格的监管。
39891,1,0,0.38428906,“神舟”六号宇宙飞船遨游太空，这是我们国家自行研制的，国人不能不为它骄傲。
16503,1,0,0.29203755,正确的学习方法是决定学习成绩好坏的关键。
44921,1,0,0.22313759,2020年5月12日9时16分，我国在酒泉卫星发射中心以“一箭双星”方式，成功将行云二号01/02星发射升空，进入预定轨道，发射取得圆满成功。
25777,0,1,0.5689794,智能运动手环为用户利用智能技术提供人性化的便捷服务，并且根据消费者的生活习惯、操作习惯来满足其功能诉求和心理需求。
44787,1,0,0.2643388,在第二届全国道德模范评选的颁奖晚会现场，一位瘦瘦的来自安徽大别山的姑娘站在领奖台上，望着场下的观众泪眼朦胧。
20833,1,0,0.4100242,“耶路撒冷”是和平之城的意思，却又是遭受劫难最多的城市，可是长期的冲突并没有使其失去迷人的魅力，从而使旅游者望而却步。
22952,0,1,0.88350326,他虽然在跑最后一圈时摔了一跤，但还是坚持跑完全程。
