id,label,prediction,score,confidence,text,err_chars
9,1,0,0.02363131,0.95273738,下午三点整，参加成立典礼的群众全部到齐了。,[]
10,1,0,0.015392975,0.96921405,"继亚马逊线下书店开张后,当当网也准备从线上走向线下，这一计划已处于实施阶段，线下书店将涵盖商场书店、超市书店、实体书店等多个类型。",[]
87,0,1,0.9809899,0.961979747,说来好笑，我们这些人的毛病，往往就是犯在轻视小事情上面。,"['[CLS]' '，' '我' '们' '这' '些' '人' '的' '毛' '病' '，' '往' '往' '就' '是' '犯' '在'
 '轻' '视' '上' '面' '。' '[SEP]']"
113,0,1,0.9986249,0.997249842,北京博物馆展出了新出土的两千多年前的文物。,"['[CLS]' '北' '京' '馆' '展' '出' '了' '新' '出' '土' '的' '两' '千' '多' '年' '前' '的'
 '文' '物' '。' '[SEP]']"
127,1,0,0.052892555,0.894214891,石亭江大桥，在暴雨引发的特大洪水中受到重创，致使西安开往昆明的K165次列车脱线，两节车厢落水，两个桥墩坍塌。,[]
129,0,1,0.9982564,0.996512771,对美中贸易的研究表明，中国以向美国出口廉价玩具、饮品和服装为主的时代一去不复返了。,"['[CLS]' '对' '美' '的' '国' '以' '向' '美' '国' '出' '口' '廉' '价' '玩' '具' '、' '饮'
 '品' '和' '服' '装' '为' '主' '[SEP]']"
134,0,1,0.99904746,0.998094916,春节黄金周，探亲和出游的旅客大量增加，广铁集团共发送旅客305.9万人次，与去年同期相比增加23万人次，增幅为8．1％。宁可让商品积压，资金呆,"['[CLS]' '．' '1' '％' '。' '宁' '可' '让' '商' '品' '积' '压' '，' '资' '金' '呆'
 '[SEP]']"
136,1,0,0.34679958,0.306400836,为亿万炎黄子孙和海外同胞所瞩目的桥山黄帝陵公祭活动，已经成为传承中华文明、凝聚民族精神的文化盛典。,[]
166,1,0,0.28676087,0.426478267,他所办理的每一起案件，从不屈服于权威的压力，从不徇私情，坚持做到刚正不阿，秉公执法。,[]
171,1,0,0.19981515,0.600369692,灵活运用各种手段以推动社会力量参与城市管理，协调好市、街、区整个城市管理中各环节的关系，使城市管理水平提升一个新的档次。,[]
179,1,0,0.46831188,0.063376248,随着日本主裁判的终场哨音响起，中叙双方战成0：0，全场三万名观众一声叹息的声音蔓延整个球场。,[]
201,0,1,0.6545454,0.309090853,美联社报道说，2 500多名专家历时6年撰写的这份获得了一致通过的气候评估报告，对全球升温后果做了迄今为止最全面的科学阐述。,['2' '[SEP]']
213,1,0,0.013180021,0.973639958,一个国家的繁荣，不取决于国库的殷实，不取决于城堡的坚固，也不取决于公共设施的华丽，而取决于其公民的文明素养的高低。,[]
218,1,0,0.4179818,0.164036393,作为维护世界和平的两大力量、促进共同发展的两大市场、推动人类进步的两大文明，中国和欧洲的每一次对望、对话，不仅牵引着世界的神经，也相互影响。,[]
232,0,1,0.9816102,0.963220358,诚信教育已成为我国公民道德建设的重要内容，因为诚信不仅体现了公民的基本道德素质，而且关系到国家的整体形象。,['诚' '信' '因' '为' '诚' '信' '不' '仅' '而' '且']
236,1,0,0.49800915,0.003981709,贪官黄利发在任财政局长的半年时间里，利用正当或不正当的手段，贪污了20万元。,[]
279,1,0,0.30912188,0.381756246,据负责人介绍，22家参展企业中，有14家国家专精特新“小巨人”企业、4家省隐形冠军企业，创新能力强、科技含量高，充分展示了浙江中小企业自主创新高质量发展成果。,[]
