	label	text
0	0	在全国各地的红色纪念馆内，几乎每件文物都反映着我们党的初心。
1	1	最近习总书记在庆丰包子铺就餐，的了舆论引起热烈响应，媒体甚至开始评点各地的著名包子。
2	1	面对校园欺凌，相关专家呼吁尽快成立防控机制，以便及早干预、发现和制止。
3	1	乔布斯把互联网装进了人们的口袋，他让我们不但享受到了信息革命的成果，而且改变了我们看世界的方式。
4	1	通过广泛阅读，使我的文化品位大大提高。
5	1	据中国青年报社调查显示，64．2%的受访者反映自己身边存在“咆哮妈妈”，妈妈们歇斯底里的批评，对孩子造成的伤害非常严重。
6	1	在网络公共言论平台日趋多样、日益扩展的情况下，公民举报官员的途径也大大增加，同时也增强了公民实现其权利的可能性。
7	1	是参与人数和传播范围最广的体育运动，广泛的社会影响，深受世界各国民众喜爱。
8	1	《小时代》是郭敬明命笔的一部长篇小说，目前已经总体出版发行。《小时代》故事以经济飞速发展的上海这座风光而时尚的城市为背景，讲述了林萧、南湘、顾里、唐宛如四个从小感情深厚、有着不同价值观和人生观的女生，先后所经历的友情、爱情，乃至亲情。
9	1	这是安徽籍著名表演艺术家李诗槐摄于1998年11月的照片，最近国内许多报纸和各大网站竞相刊登这幅照片。
10	1	为了防止散布涨价信息扰乱市场秩序的违法行为不复发生，国家发改委对联合利华(中国)有限公司处以200万元的经济重罚。
11	1	各级卫生部门要积极地扑灭、预防和主宰甲型H1N1流感疫情，防止疫情扩散蔓。
12	0	2010年上海世博会将是一次探讨新世纪人类城市生活的盛会，将是一曲以“创新”和“融合”为主旋律的交响乐，将成为人类文明的一次精彩对话。
13	0	正因为这一高贵的坚持，让这座年轻的城市因阅读而受人尊重，崇尚读书、热爱读书已成为当今深圳人的新风尚。
14	1	山东省首套扬尘在线监控系统正式启用，现场视频、图像、数据通过3G网络就能传输到智能移动平台、桌面PC机等终端设备进行访问。
15	1	莫言在80年代中期以一系列乡土作品崛起，被当代文学界归类为“寻根文学”作家，也使他当之无愧地获得了诺贝尔文学奖的殊荣。
16	0	央视《中国诗词大会》将经典通俗化，这有利于更多人了解和研究传统诗词。
17	1	语文对我很感兴趣。
18	1	让自己变得更优秀，并不是为了找到喜欢的人，而是为了让你挣扎跟不喜欢的人将就凑合的命运。
19	1	要把我们的学生培养成为既具有丰富的知识又有高尚的品质。
20	1	艺术家应怀着对艺术的真诚来创作富有艺术价值的社会价值和作品，不要一味去华而不实追求的大所谓制作。
21	1	西南证券5月15日发布报告认为，此次地震灾害的全部损失可能在1050亿～1900亿元之间，可能造成二至四季度经济增幅至少减少0.15至0.2个百分点左右。
22	0	目前，诗歌的命运空前引人关注，在一些忧心者看来，诗歌已经濒临灭亡，诗人已经集体逃亡，必须挽救诗歌，拯救诗人。
23	1	在新学期开学典礼上，十几位刚刚考入名牌大学的优秀学子无疑成为全场的焦点，他们精彩的发言赢得了台下的阵阵掌声，校长和其他学校领导也都出席了这次开学典礼。
24	1	连日来，江西武宁县船滩乡船滩村一村民发现“乌木千年”的消息不胫而走，每天吸引上百名村民赶到现场看热闹。
25	1	如果要做更大的事，光靠聪明是不够的，还要决心、毅力、格局、气度、勇气，而其中有许多特质都是很多人所不足的。
26	1	深圳交管局提出了“保住底线，不触高压线；抓住主线，不走偏线”，要求全市交警带头执行，严格遵守。
27	0	据中国铁路客户服务中心消息，互联网、电话订火车票12天预售期的服务项目已恢复，现在非购票高峰期，能快捷登录订票网站。
28	1	由于《数理化通俗演义》很有特色，自出版以来的几年间，受到了广大读者实属青年学子的欢迎。
29	1	通过《复兴之路》这部见证民族精神崛起的作品，让我们确实看到中国走过一段漫长而又艰难的道路。现在，中国人选择了走有中国特色的社会主义道路，我们应该更自豪与自信。
30	1	新任局长嘱咐几个学校的负责人，新学期要有新的打算，要把保证学生的安全厕身第一位。
31	1	当时，许峰正在住院，听到有险情，带病走出医院，不顾卫生工作者的力阻，入到抗洪救灾工作中去。
32	1	鉴于京沪高速铁路投资巨大，不仅对本国民族铁路工业有着皇皇的影响，同时对德、法、日等国企业甚至政府都极具吸收力。
33	0	一百年来，不管形势和任务如何变化，不管遇到什么样的惊涛骇浪，我们党都始终把握历史主动、锚定奋斗目标，沿着正确方向坚定前行。
34	0	圣彼得堡是俄罗斯的文化中心，世界杯的到来，给这个古老而又繁华的城市注入一股新鲜的活力。
35	1	老师、同学和全体师生一起植树。
36	1	《国家宝藏》开播之初，九个博物馆的工作人员自发在网络上答对解惑，为激活传统文化的生机贡献力量。
37	1	冰心老人的一生创作了那么多文朴质美的散文，如今她安详地休憩在玫瑰花中，凭吊的人们纷纷把红玫瑰花瓣轻轻地撒在她的身上。
38	0	能否从根本上防止暴力行为的发生，关键在于能否在施暴学生误人歧途前阻止他们。
