id,label,prediction,text
22525,0,1,在世界各大民族中，中华民族是最重视伦理道德作用的民族之一，这一点深深地影响着中国哲学，同时也深深影响着中国美学。
29471,0,1,中美是世界上两个最重要的经济体，如果发生争端，将不利于全球经济。
41404,0,1,学校让学生亲自参与艺术审美活动，能有效地培养和提高学生的审美趣味和审美能力，塑造完美人格。
5593,0,1,190个国家、56个国际组织以及许多中外企业踊跃参展，200多万志愿者无私奉献，7308万参观者流连忘返，共同铸造了上海世博会的辉煌。
13560,1,0,高校自主招生增加体育测试项目，把身体好不好作为“好学生”的重要标准。
40749,0,1,一场主题为“让更多肢残人走出家门”的爱心捐赠仪式在桂林市叠彩区残疾人联合会门口成功举办。
15024,1,0,2017年《财富》全球论坛自宣布落户广州以来，《财富》杂志将目光聚焦在广州，以财富为媒，向世界展示一个充满底蕴又创新进取的广州。
8256,0,1,千佛山、大明湖和趵突泉，是济南的三大名胜。
32773,0,1,是什么让伊旗在短短十年间就“麻雀变凤凰”呢？记者调查发现，大力发展煤矿工业是伊旗迅速脱贫致富的主要原因。
13460,0,1,我们的祖先用自己的勤劳和智慧创造了光辉灿烂的中华文化，为后人留下了宝贵财富。
9831,0,1,最近一段时间，中科院以及北大、清华等学府纷纷出台自己的学术戒律，力图在学术腐败成风的情况下，廓清弥漫在学术及科研领域的道德迷雾。
22993,0,1,我一定听取大家的意见，改正缺点。
23547,0,1,对于古文化遗产，我们应该运用唯物主义观点，剔除其糟粕，吸收其对我们有用的东西。
11526,0,1,根据各种实验和理论暗示，我们完全可以有理由认为：自然界中有一种奇特的、迄今为止在很大程度上人们还没有研究的被称为“超对称”的结构。
5885,0,1,我省广大干部和群众团结一心，采取多种有效措施奋力抗灾。
9227,0,1,京津冀在相邻区域内建立突发事件信息通报制度、协调联动处置机制和卫生应急队伍相互支援机制，推动卫生应急一体化进程。
7782,0,1,最近，一部名叫《娃娃新娘》的电视剧在印度创下7400万观众的超高收视率。制片人说，这主要是因为大部分故事情节现在依然在印度发生，引起了人们的共鸣。
4387,1,0,俄罗斯人在婚礼上，要举行劈木柴仪式，以此把新郎会不会劈柴作为他能否持家的标志。
32213,1,0,任继愈、季羡林、钱学森等几位大师远去的背影已成为2009年最凝重的底色；而他们的离去，让我们更加了解我们的历史与时代，让我们更加期待民族的未来与振兴，让我们更加期待像他们这样的鸿儒大家不断涌现。
6432,0,1,我做错了事，母亲只对我一望，我看见了她严厉的眼光，就吓住了。
7082,0,1,在老师的帮助下，我们终于解决了一道大难题。
24080,0,1,登黄花岗、谒中山陵、临避云寺，在这些堪称国民党人“圣地”的地方，国民党大陆参访团的成员激动不已：两岸同根同源，荣辱与共，相连着隔不断的骨肉深情。
32501,0,1,许多学校举行世界环境日教育活动，其目的是让学生学习环保知识和提高环保意识。
7475,0,1,上海市78名经过培训、考核合格的市场管理人员获得执法证，首批人才市场执法官开始上岗。
25127,0,1,国家制定《京津冀区域环境污染防治条例》，目的是便于有利打击违法排污行为，该条例是积极推进京津冀协同发展的重要法规。
34896,0,1,民营企业海外寻找的原油资源若要运到国内，必须要有两大石油公司的“排产计划”，否则，不允许进口。
33976,0,1,将“乾坤柱”改为“哈利路亚山”，实际上只是满足了少数人对洋人的好奇心理，却忽视了包括十三亿中国人在内的大多数人的感受。
32054,0,1,今年我国重大科研项目取得突破性进展，这极大地增强了我们的民族自信。
30627,1,0,鞍山一中建校90周年活动标识整体设计以“盛大、热烈、稳健、简约”为原则，色彩主体“90”选用暖色，突出校庆的热烈、喜庆的氛围，也代表着一中师生的活力与热情。辅以校名、时间的宝石蓝色，代表着一中师生的睿智与稳健。
7940,1,0,中德两国元首同意巩固并建立中德全方位战略伙伴关系。
14717,1,0,"记者从中科院高能物理研究所获悉,高能物理研究所所长王贻芳获得2016年基础物理学突破奖,属于科学界“第一巨奖”,这也是我国科学家首次获得该奖项。"
9845,1,0,短评贵在“短”， 言简意赅，笔墨不多，读者一览即了，作者一挥而就，但是文章越短越不好写。
33250,0,1,社会诚信缺失，既有外部环境的原因，也有个人自身的原因。其中，最重要的是人们对市场经济的模糊认识和自身约束的缺失。
24541,1,0,2008年北京奥运会将全面运用人脸识别系统。人们在进入奥运场馆时会对其面部特征进行快速核对，安全人员就可以在最短时间内发现各类“危险人物”。
40102,1,0,中美合作则共贏，对抗必双输，这是不以人的意志为转移的客观事实和必然趋势。中方愿意在相互尊重的基础上，与包括美国在内的世界各国和平共处，美方也应适应中国的发展。
38195,0,1,茅台很纠结，既不反对外界称之为“奢侈品”，又羞于承认自己是“奢侈品”。
