,id,label,prediction,text
4,5,1,0,安徽合力公司2006年叉车销售强劲，销售收入涨幅很有可能将超过40%以上。公司预计2006年度实现净利润与上年相比增长50%。
6,7,0,1,苏明娟实现了从农家女孩到共青团安徽省委副书记的“逆袭”，这让我们看到：扶贫救困不能只顾解决眼前问题，更要立足长远培养脱贫能力。
10,11,0,1,我们正在走进五彩缤纷、朝气蓬勃的青春花季。
13,14,0,1,省科学技术奖的推荐、评审和授奖，坚持公开、公平、公正的原则，依法管理，求真务实，注重实效，严格评审标准，不受任何组织和个人的干涉，坚决防止弄虚作假。
14,15,0,1,如何体会企业文化的深刻内涵，认识用伊秀文化提升企业竞争力的重要性，是摆在每一位中国企业家面前的重要课题。
16,17,0,1,12月9日下午，江西省考古研究所研究室主任张文江在景德镇市唐代南窑遗址考古成果发布会上宣布，在乐平市接渡镇发现了我国迄今最长的唐代龙窑遗迹。
17,18,0,1,道德本是维系群体人际关系的准则，它是一种逐渐形成并不断演化、不断微调以适应不断变化着的生存环境的产物，是一种非人为设计的长久习俗。
18,19,0,1,成立陆军领导机构、组建战略支援部队，是中国军队现代化建设的一个重要里程碑，彰显了一个走向复兴的大国实现强军梦的决心。
19,20,1,0,2009年末，奥巴马总统决定再向阿富汗增兵10万，在塔利班已然再成气候的今日阿富汗，区区十万兵力能否扭转乾坤，颇为令人怀疑。
20,21,0,1,修改后的《中华人民共和国个人所得税法》于9月1日正式实行。新《中华人民共和国个人所得税法》实施后，全国约6000万的工薪阶层纳税人成为最主要的受益群体。
26,27,0,1,保护野生动植物就是保护人类赖以生存的生态环境，国家应加快建立自然保护地管理体系，让重要的自然生态系统得到有效保护，促进人与自然和谐共生。
28,29,0,1,救灾队伍在余震不断、交通断绝、通信不畅的恶劣环境下坚韧前行，一条条生命因为他们的到来重获生机。
32,33,0,1,深圳人以“心容天下，敢为人先”的精神，创造了一个又一个奇迹。
33,34,0,1,通过参加志愿者活动，许多学生都感受到了奉献的快乐。
34,35,0,1,其实，日落的景象和日出同样壮观、绮丽，而且神秘、迷人。
35,36,1,0,通过最近报刊上发表的一系列文章，给了我们一个十分有益的启示：要形成好的社会风气，就必须加强国民素质教育。
37,38,0,1,江苏省出台了校园足球行动计划纲要，创建一批校园足球特色学校和特色县。
43,44,0,1,许多青年人热心于世界科技的发展，他们有志成为世界知名学者，他们对国际的重大问题给予极大的关注。
44,45,1,0,教育部日前下发《关于做好2009年普通高等学校招生工作的通知》，鼓励各省采取平行志愿投档，努力降低新生报到流失。
51,52,0,1,提高整个中华民族的科学文化水平，是亿万人民的切身事业。
65,66,0,1,英国媒体报道称，将来无论哪一种癌症患者，都可以得到符合个体特点的预约免疫治疗法，这种新疗法可以让患者的免疫系统主动出击，杀灭每一个癌细胞。
69,70,1,0,目前，总耗资达5500万英镑的“伦敦奥运文化节”正在如火如荼地举行，1000万张免费门票让公众有机会欣赏来自世界各地的舞蹈、戏剧、艺术、音乐表演。
73,74,0,1,万里长城以气魄雄伟而享誉世界。
75,76,0,1,因为草长，树木长，所以山是一天一天地变丰满。
79,80,0,1,作为文艺复兴时代的伟大代表人物，莎士比亚是敏锐的学习者，也是伟大的创新者。
84,85,0,1,“活化”的历史，能让人们追寻悠久的文明历程，洞察人类进化的内在奥秘，审视千百年的坎坷与辉煌。
86,87,0,1,说来好笑，我们这些人的毛病，往往就是犯在轻视小事情上面。
87,88,0,1,十一月开学后二周，我们学校九年级开展了理化生实验抽翻活动。
88,89,0,1,几个女人有点失望，也有些伤心，各人在心里骂着自己的狠心贼。
89,90,0,1,到了20世纪中后期，有不少中外人士尝试从新的角度认识、解读莎士比亚，这也印证了其作品的现实意义和不朽的生命力。
91,92,0,1,创建国家环保模范城、实施碧水蓝天计划，是加强资源环境保护．促进和谐社会建设，提高城市综合竞争力的战略选择。
92,93,0,1,要进行素质教育，关键在于改变教育思想，而教育思想的改变，取决于教育体制和整个社会人才观念的转变。
93,94,0,1,航天科学家曾希望这种撞击会激起六英里高的月球尘埃和碎片云，通过对它们扫描可以找到水冰的证据，但令大家失望的是，两次撞击后，没有发现任何云状物。
94,95,0,1,建设部要求，各地要把风景名胜资源保护工作放在极其重要的位置，采取切实有效的措施，保护风景名胜资源的真实性和完整性。
95,96,0,1,萧山区青年歌手大赛成为全区百姓最关注的本土声乐大赛，每届都吸引着数百位歌唱爱好者的参与。
96,97,0,1,中国古代小说有其自身的特点，重故事，重描写，与西方小说和现代某些中国小说重心理刻画不同。
98,99,1,0,“中学校长推荐制”是北京大学在2010年推行的一种自主招生政策，目的为进一步推进自主招生改革，探索多样化人才培养，为不同类型优秀学生的脱颖而出创造条件。
100,101,0,1,故乡，是我们每个人一生的精神故园。如果我们注定一生要不停地四望，故园是我们的目光惟一永远不变的方向。
101,102,1,0,最近几日，雾霾天气再现华北地区，有专家透露一股来自西伯利亚的冷风即将从我国北方入境，这或许有助于雾霾浓度的扩散。
102,103,1,0,许多水果具有药用功效，例如大家都很熟悉的柠檬中间就含有柠檬酸、柠檬多酚及维生素C等成分就都具有很强的抑制血小板聚集的作用。
103,104,0,1,储蓄所收储蓄额的高低对国家流动资金的增长有重要的作用，因而动员城乡居民参加储蓄是积累资金的重要手段。
105,106,0,1,由此可见，文化上真正的高峰是可能被云雾遮盖数百年之久的。大家只喜欢在一座座土坡前爬上爬下，狂呼乱喊，却完全没有注意那一脉与天相连的隐隐青褐色，很可能是一座惊世高峰。
107,108,0,1,“高雅艺术进校园”活动旨在提高学生们的审美素养，引导学生树立正确的文化观，增强学生的文化自信，提升校园文化品位，优化育人环境。
111,112,0,1,残疾人参与体育运动，是用身体和意志，证明自己参与社会生活的能力；是用精神和毅力，表现自己的人格尊严、突破生命局限的志气和勇气。
112,113,0,1,北京博物馆展出了新出土的两千多年前的文物。
117,118,0,1,孔子把“仁”作为自己学说的最高范畴，为人类的道德生活确立了最基本的准则，
118,119,0,1,“9·11”事件后，随着美国和欧洲的经济萎缩，一些国际基金组织为寻找新的投资机会，将目光转向亚洲，尤其是中国这个大市场。
124,125,0,1,平凡折射伟大，在2020年生日夜，詹姆斯创造了得分连续1000场上双（10分）的纪录，17年里一拨又一拨的对手盛极转衰，只有詹姆斯还如磐石一般屹立在华山论剑的巅峰。
128,129,0,1,对美中贸易的研究表明，中国以向美国出口廉价玩具、饮品和服装为主的时代一去不复返了。
131,132,0,1,日前颁布的《国务院关于促进民航业发展的若干意见》明确把民航业定为战略性产业，把发展民航业提升为国家战略，这将对中国民航的发展起到巨大的推动作用。
139,140,0,1,根据实时遥测数据监视判断，嫦娥四号探测器顺利进入环月轨道，近月制动获得圆满成功。
140,141,1,0,由于各地、各部门的密切配合，共同努力，“菜篮子”工作取得显著成绩，实现了“菜篮子”产品由长期短缺、品种单调到品种丰富多样、供求基本平衡的历史性转折。
143,144,0,1,今天的中国，正在以人类历史上的发展奇迹，吸引着世界的目光，接受着历史的检阅。而61年辉煌奇迹的造就，每一步跨越都孕育于风险和挑战，每一个脚印都充满了奋斗的艰辛，每一次变革都彰显着智慧和勇气。
144,145,0,1,由于近年来调整城市功能，重新定位产业结构以及疏解非首都核心功能等战略的实施，北京市将严格控制人口总量的增长，常规引进人才进京的数量将逐年减少。
151,152,0,1,我们平时使用的醋，含有氨基酸、钙、磷、铁和维生素B等成分，被皮肤吸收后，可以有效改善面部皮肤营养缺乏的状况。
156,157,0,1,越来越多的人已经认识到：经济的发展应与环境达成和谐，其中最重要的内容就是避免污染环境和保护构成和谐环境的生物。
157,158,0,1,于是，他脱下战袍，背上荆条，到蔺相如家负荆请罪。
179,180,0,1,随着科学技术日新月异的发展，电脑已成为人们不可或缺的工具，在人们的学习和工作中发挥着重要的作用。
183,184,0,1,在市场经济下，承认电影这种以声、画为基础的大众传播媒介本身的娱乐功能和接受主体的娱乐要求就必然成为时代的要求，票房也就成为衡量一部影片的重要标准。
188,189,0,1,文明礼貌，和气待人，这种与人为善的美德，不仅商业活动中需要提倡，其他行业活动中也该提倡。
190,191,0,1,“字”算是一个文字化石，从古到今，字形都没有多大变化。
197,198,1,0,为增强全体员工的文明版务意识，进一步提高职业道德素质，我省某商业银行将采取强有力的措施，在本本系统内广泛推行文明服务用语和服务忌语。
200,201,0,1,美联社报道说，2 500多名专家历时6年撰写的这份获得了一致通过的气候评估报告，对全球升温后果做了迄今为止最全面的科学阐述。
201,202,0,1,围绕林冲的遭遇，课文情节的展开张弛有致、波澜起伏，反映了林冲性格思想的变化过程。
203,204,0,1,有评论家指出，目前的中国足球人才短缺，竞争机制难以完善，个别球员恃才无恐，出现了职业道德与收入没有同步提高的怪现象。
207,208,0,1,目前，中国各民族地区的戏曲剧种约有360种，传统剧目数以万计。
209,210,0,1,高速公路上交通事故的主要原因是司机违反交通规则或操作不当。
213,214,0,1,万名青年开展志愿服务活动，助力盐城共创“全国文明城市”。
214,215,0,1,商业经济和文化产业的发达，加之西方先进的摄影技术传入，为时尚画报这种大俗和大雅混杂的消费品，提供了得天独厚的经济和文化空间。
219,220,0,1,北京三联韬介书店24小时营业，让“不打烊”书店成为城市的精神地标。
220,221,0,1,观察人士认为，中国经济在经过出口拉动型、投资拉动型增长之后，2006年将开始注重增强拉动经济增长的“第三驾马车”——消费的拉动力。
223,224,1,0,新中国成立60周年，祖国的辉煌成就，极大地激发了全国人民的自信心．和自豪感，极大地增加了中华民族的凝聚力，极大地提升了我国的国际地位和影响力。
226,227,1,0,针对严峻的国际经济形势，即将于2月28日开幕的世界经济论坛第三十九届年会确定了“重塑危机后的世界”，旨在寻找稳定金融市场与促使经济增长的良策。
231,232,0,1,诚信教育已成为我国公民道德建设的重要内容，因为诚信不仅体现了公民的基本道德素质，而且关系到国家的整体形象。
243,244,0,1,不能把中国文化简单理解为中国菜、太极拳、京剧等形式化、概念化的符号，而是要潜心挖掘我们的文化内涵，为“文化走出去”创造条件。
245,246,1,0,这份调研了国内25个省市、自治区历时近4年由20余家单位、300多位专家完成的报告应该很能说明近年来食品安全监管工作的进步。
246,247,0,1,近年来，学生书写水平逐渐下降的问题引起了全社会的广泛关注。
251,252,1,0,市广电局宣称：未来三个月将在市区居民小区全面落实和推动有线电视数字化精神，居民小区电视信号由模拟制转换为数字制。
252,253,0,1,热烈祝贺北京携手张家口申办2022年冬奥会成功！
254,255,1,0,近年来，越来越多的热心人士借助微博参与公益活动，将微力量汇聚起来，有效解决了众多的社会性问题和政策。
257,258,0,1,2019年的春节旅游市场异常火爆，数据显示，除夕前一周，上海、杭州等热门城市的机票预定量同比增长超40%。
258,259,0,1,从盘尼西林过渡到二甲氧西林一项就使基本医疗费增加了十倍；更昂贵更复杂的抗生素用于治疗，导致 “超级病菌”们获得了更大的抗药性。
259,260,0,1,一个人的言行，体现家庭的素养，子女的身上，有着父母的影子。劝人行善积德，力行勤俭有为，这些积极向上的家规祖训，渗进了我们民族的传统文化。
260,261,0,1,只有搞好干部队伍建设才能贯彻落实全心全意为人民服务的宗旨，因此，我们必须高度重视，常抓不懈。
263,264,0,1,随着流动人才的增加和社会对人才需求的日趋多样化，用人单位在招聘人才时，开始主动与各地人才市场联系，以便在更大范围内挑选更符合要求的优秀人才。
264,265,0,1,按照国际外交惯例，国家元首出访，第一夫人往往会陪同前往。她们在外交活动中的良好表现，会增强公共外交的效能，有利于提升一国的“软实力”。
265,266,1,0,网络运用的自如开放，使得网络小说在语言、风格和结构等方面明显有别于传统小说，因此，网络小说越来越吸引年轻一代的目光与共鸣。
268,269,0,1,学问学问，贵在有问，因此我们要不断地发现并解决各科学习中的问题。
272,273,1,0,计划于6月至8月择机发射的“神舟十号”，将是飞船在太空飞行时间最长的一次，3名航天员将驾乘飞船与“天宫一号”实施载人空间交会对接。
273,274,0,1,一档名为《朗读者》的大型朗读类节目播出，加上已经成为热门话题的《见字如而》，给人一种久违的文化气息。
276,277,0,1,福建土楼具有防匪防盗、防震防潮、冬暖夏凉、生活方便等优点，虽经百年风雨或战争硝烟，至今仍巍然屹立，享有“东方古城堡”之美誉。
281,282,0,1,《士兵突击》这样艺术水平高，情趣积极向上的作品的走红，广大网民对“华南虎照片”等重大新闻的真实性的质疑监督，使我们看到了网络传播所蕴涵的巨大的积极作用。
283,284,0,1,2011年中央一号文件是新中国成立以来中央首次全面系统地部署水利改革发展工作，并将水利提升到关系国家安全的战略高度的党的重要文件。
284,285,1,0,政府主导，媒体监督与宣传，社会各界积极行动，是解决目前我国农村约5 800万缺失父母庇护的留守儿童身心成长、学习生活所面临的失管、失教和失衡问题。
288,289,1,0,关汉卿把窦娥心灵深处最美好最闪光的东西展示给观众，使观众看到它的毁灭、看到它的可贵。这体现了悲剧的特点，增强了艺术感染力。
296,297,1,0,"土耳其表示,在建设安伊高速铁路二期工程,将寻求中国的帮助,这也为中国铁路总公司打入欧洲市场提供了一次机会。"
297,298,0,1,校党委讨论了发动全校师生开展爱国卫生运动的行动方案。
299,300,0,1,随着供应链管理方式的普遍实施，更多的跨国公司打算将其采购网络向中国延伸。
301,302,0,1,面对和平而不太平的价值多元化的世界，国与国的主要竞争方式从残酷的军事对抗转向经济、社会、文化综合实力的比拼。
304,305,0,1,崔天凯指出：中美两国历史文化传统和经济发展水平不同，两国国情有很大差别，所以在人权问题上有不同的看法，这也是一件很正常的事情。
308,309,0,1,政府应通过有效的预算改革，把钱花在民生保障上，减轻老百姓看病、上学、购房、养老等负担，让老百姓比较放心地花钱，以此拉动内需。
312,313,0,1,为适应职业资格证书制度改革工作的需要，人社部对技能人员职业资格证书进行了改版，改版后的职业资格证书由人社部统一印制。
314,315,0,1,陆家嘴东方明珠塔、外滩、上海大剧院……这些上海地标将吸引全世界游客，形成具有全球影响力的都市观光品牌。
315,316,0,1,"詹天佑经常勉励工作人员说：""我们的工作首先要精密，不能有一点儿马虎。'大概''差不多'，这类说法不应该出自工程人员之口。"""
317,318,0,1,川航机组突遇险情，成功备降，强烈地震撼着网友的心，网友纷纷为他们的专业素养点赞。
320,321,0,1,“低碳”这个原本有些陌生与拗口的词开始走进公众生活，“我为全球减斤碳”的号召得到大众的积极响应，“低碳生活”有望成为新的时尚。
322,323,1,0,针对全球疫情仍在扩散蔓延和国内疫情零星散发的现状，我们要自觉减少聚集外出，也要严格遵守各项防疫要求，这将有助于降低新冠病毒的扩散。
324,325,0,1,尽管乐视网的商业模式被标榜为“版权分销+付费用户+网络广告”三位一体，但从2007年至今，广告收入依然是构成公司总营收的主要来源。
330,331,1,0,适度限制特大城市人口规模，引导外来人口向中小城市转移，有利于国家发展和人民幸福的理智选择，应当成为全社会的共识。
331,332,1,0,小狗包弟虽小，但也是一条生命，凡有血有肉的善良生命都应得到生存权，免受侵害，这一观念已经在今天被大多数人接受。
334,335,0,1,在党的90华诞来临之际，阜城“夕阳红”红歌队的老人们正紧锣密鼓地排练《歌唱祖国》等几首红色革命歌曲，准备参加全市举行的“纪念建党90周年”的红歌比赛。
336,337,0,1,这个地区在试行科学种田以后，经过一年多的苦战，粮食和棉花产量都大大超过了历史最高水平。
339,340,0,1,回家路上，妈妈兴奋地讲起了她童年的趣事。
343,344,0,1,梦在前方，路在脚下，青年要坚定信念，珍惜韶华，在追求中国梦的道路上放飞青春，以“青春之我”建设“青春之国家”！
345,346,0,1,预防非典型性肺炎，要做到早发现、早报告、早隔离，及时治疗患者，这样就可以避免群众乱投医、乱服药。
349,350,0,1,面对金融大海啸的冲击，昨天，除日本之外，全球各大央行几乎同时宣布降息。中国央行也不例外。
351,352,0,1,受快餐文化的影响，真正喜欢阅读中外名著的中学生并不多，因此在语文教学中广大教师引导学生阅  读中外名著就显得格外重要。
356,357,0,1,在老师的教导下，他终于端正了自己的学习态度。
362,363,0,1,为一支烟，为一元钱，甚至为几句听着不顺耳的话，就要拳打脚踢、舞刀弄棒，后果是严重的，有的从此要在监狱里度过漫长的岁月，有的要付出生命的代价。这是个人的、家庭的悲剧，也是社会的悲剧。
363,364,0,1,它制约着人们的思维方法，支配着人们的行为习俗，控制着人们的情感抒发，左右着人们的审美趣味，规定着人们的价值取向，悬置着人们的终极关怀。
370,371,0,1,澳大利亚早晚温差比较大，但气候宜人，季节区分不明显，夏季雨少，冬季雨多。
371,372,1,0,受一股较强冷空气自西向东的影响下，自10月2日夜间至5日，长江以北地区将持续出现大范围大风降温和降雨天气，部分地区将经历“断崖式降温”。
373,374,0,1,为了避免校园安全事故再发生，我市中小学都加大了校园安全工作力度。
374,375,0,1,美国情报部门认为，伊朗即使决心发展核武器，而且为此动用一切科学和工业资源，在技术上也没有遇到重大挫折，那距离制造出核武器也还有10年时间。
382,383,0,1,你不敢轻视了静坐于酒馆一角独饮的老翁或巷头鸡皮鹤首的老妪，他们说不定就是身怀绝技的奇才异人。
384,385,0,1,沙尘从南京一些沙漠周边的退化草场和旱地刮起，途经河北，到达京津。
385,386,0,1,在蒙蒙细雨中，末任港督告别了这个曾居住过二十五任港督的庭院。
387,388,0,1,微博在打破了新闻的定义后，再一次挑战了公共关系学，因为微博是以个人行为替换了组织行为。
392,393,0,1,历时三年零十个月，总投资198亿元的广州新国际机场已于2004年8月5日正式全面启用，投入营运。
394,395,0,1,长安是平地起城，其选址经过缜密论证，考虑的是管辖辽阔疆域的安全需要，代表的是整个国家和整个民族的根本利益。
395,396,1,0,"气候变暖是当今全球面临的重大挑战。拯救地球家园、遏制气候变暖,是全人类共同的使命,每个国家和民族,每个企业和个人,都应当积极地行动起来。"
396,397,1,0,训练中身体失去的水分应及时补充，因长期训练会使身体大量排汗，血浆量下降，所以应及时补水以增加血浆量，提高心脏的工作效率和运动持续时间。
398,399,0,1,新建的武广高速铁路将对缓解京广铁路运力长期严重紧张局面、促进我国经济社会发展尤其是中部地区发展具有重要意义。
399,400,1,0,三聚氰胺分子中含有氮元索，如果添加到奶粉中，就可以提高奶粉中蛋白质的检测数值，这是许多不良厂家用以牟取暴利的罪魁祸首。
409,410,1,0,近年，我国在海外开展了形式多样的汉语教学、汉语推广等文化交流活动，促进了汉语国际传播，在世界主要国家和城市越来越受欢迎。
411,412,0,1,滨海新区几大高新技术产业群已初具规模，但具有自主知识产权的科技企业大部分竞争力不够强，需要政府积极引导和大力扶持。
412,413,0,1,我们没有理由不珍惜今天的幸福生活
413,414,0,1,"新年前夕,国家主席习近平为全国人民送上新年祝福，并号召大家要万众一心加油干，越是艰险越向前。"
415,416,0,1,《史记》就是这样遵循“原始察终，见盛观衰”的原则，对我国三千多年的历史进行了总结，深得史家赞赏。
418,419,1,0,经过专家组分析论证，排除了不可抗力和人为破坏因素导致事故发生的可能性，认定“12·23”井喷特大事故是一起责任事故。
421,422,0,1,“猎鹰”是美国“全球快速打击计划”的重要项目，能让美国根据所面临威胁，从核打击、常规打击和非动能打击中灵活选择威慑方案。
432,433,0,1,为进一步方便群众进行社会监督，教育部对现有20余个不同业务领域的监督举报电话和电子邮箱进行了整合归并。
437,438,1,0,规划建设雄安新区，对于探索人口经济密集地区优先开发、调整优化京津冀城市布局和空间结构具有重大现实意义和深远历史意义。
439,440,1,0,人性的高贵与否，在很大程度上决定于人受到的所读书籍的影响有很大的关系，高雅的阅读可以使人的灵魂高贵起来。
441,442,0,1,这句话的后面，包含了多么丰富的潜台词啊！
442,443,0,1,各地教材大换血，鲁迅的多篇作品被“踢出去”，网友质疑道“时代确实不同了，但谁又能说我们这个时代不需要鲁迅精神了呢？”
446,447,1,0,一个有德行的人，别人和社会总会需要他；也只有当别人和社会需要他时，他的身上才会放射出吸引人的力量和人生价值的光芒。
